"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 00:28:36 CST 2024","Thu Nov 28 00:28:36 CST 2024","0","","test_allure","TestEditPage","","","test_2",""
"passed","Thu Nov 28 00:28:36 CST 2024","Thu Nov 28 00:28:36 CST 2024","1","","test_allure","TestEditPage","","","test_1",""
