"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 24 20:49:59 CST 2022","Tue May 24 20:49:59 CST 2022","0","","test_allure","TestEditPage","","","test_1",""
"passed","Tue May 24 20:49:59 CST 2022","Tue May 24 20:49:59 CST 2022","0","","test_allure","TestEditPage","","","test_2",""
